"Unidade da Federação";"2017";"2018";"2019";"2020";"2021";" Total"
"11 Rondônia";"85,05";"82,92";"82,12";"74,22";"57,75";"78,76"
"12 Acre";"63,56";"69,84";"74,83";"56,50";"39,05";"63,46"
"13 Amazonas";"71,14";"75,22";"79,80";"65,07";"53,17";"70,84"
"14 Roraima";"89,16";"83,50";"77,48";"64,33";"37,80";"73,39"
"15 Pará";"57,38";"60,48";"65,14";"54,42";"40,13";"57,44"
"16 Amapá";"57,89";"63,76";"69,27";"42,29";"32,82";"55,77"
"17 Tocantins";"77,95";"81,12";"82,12";"77,36";"63,60";"78,04"
"21 Maranhão";"64,39";"68,11";"63,23";"50,34";"40,50";"59,44"
"22 Piauí";"68,44";"72,86";"69,58";"63,85";"55,99";"67,40"
"23 Ceará";"84,51";"88,44";"75,18";"70,80";"46,79";"76,40"
"24 Rio Grande do Norte";"55,95";"70,92";"68,19";"61,60";"49,45";"62,69"
"25 Paraíba";"70,08";"74,48";"76,94";"60,48";"43,92";"67,78"
"26 Pernambuco";"72,86";"76,95";"71,10";"60,98";"48,33";"68,26"
"27 Alagoas";"74,72";"81,19";"71,79";"59,23";"50,91";"69,62"
"28 Sergipe";"68,35";"75,21";"68,84";"58,27";"49,02";"65,84"
"29 Bahia";"65,14";"65,37";"65,14";"59,95";"43,87";"61,94"
"31 Minas Gerais";"76,28";"84,74";"77,86";"76,91";"57,84";"76,84"
"32 Espírito Santo";"73,30";"80,98";"75,32";"74,48";"56,96";"74,06"
"33 Rio de Janeiro";"77,31";"72,67";"61,19";"46,65";"40,34";"62,24"
"35 São Paulo";"73,03";"78,80";"74,50";"70,13";"54,25";"72,17"
"41 Paraná";"79,78";"82,41";"82,87";"77,15";"56,33";"78,15"
"42 Santa Catarina";"79,42";"84,46";"83,98";"81,65";"59,77";"80,03"
"43 Rio Grande do Sul";"73,51";"78,27";"79,46";"76,88";"53,55";"74,77"
"50 Mato Grosso do Sul";"85,80";"94,40";"90,84";"72,84";"53,46";"82,64"
"51 Mato Grosso";"76,56";"80,78";"78,28";"74,42";"55,94";"75,21"
"52 Goiás";"72,20";"76,79";"71,93";"69,82";"51,98";"70,58"
"53 Distrito Federal";"74,89";"82,22";"79,12";"75,88";"64,60";"76,68"
"Total";"72,93";"77,13";"73,44";"66,61";"50,82";"70,37"
